scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Craugastor fitzingeri,2025-08-17 09:18:45 -0600,,"Parque Nacional Manuel Antonio, Aguirre, Província de Puntarenas, CR",9.3852466667,-84.1438666667,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/307993919,https://inaturalist-open-data.s3.amazonaws.com/photos/555611085/medium.jpg,rafaelbatista011,307993919,Craugastor fitzingeri,Amphibia,65238,1,0,2025-08-17 09:18:45-06:00,2025-08-17,2025-08-17 15:18:45 UTC,America/Costa_Rica,2000,2000,,open,false,,,6637737,Rafael Batista,2025-08-21 16:28:48 UTC,2025-08-21 20:55:25 UTC,research,CC-BY-NC,NA,3,false
Craugastor fitzingeri,2025-08-19 18:31:42 -0600,,"Golfito, Puntarenas, CR",8.6203283333,-83.4753883333,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/307887613,https://static.inaturalist.org/photos/555409329/medium.jpg,pryckman,307887613,Fitzinger's Robber Frog,Amphibia,65238,1,0,2025-08-19 18:31:42-06:00,2025-08-19,2025-08-20 00:31:42 UTC,America/Costa_Rica,3,3,,open,false,,,731480,,2025-08-21 03:27:21 UTC,2025-08-21 07:57:40 UTC,research,,NA,3,false
Craugastor fitzingeri,2025-08-07 06:33:15 -0600,,"Siquirres, Limón, CR",10.0345195,-83.520095,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/307071444,https://static.inaturalist.org/photos/553820239/medium.jpg,robertovargasm,307071444,Fitzinger's Robber Frog,Amphibia,65238,1,0,2025-08-07 06:33:15-06:00,2025-08-07,2025-08-07 12:33:15 UTC,America/Costa_Rica,4,4,,open,false,,,17115,Roberto Vargas,2025-08-17 18:02:17 UTC,2025-08-17 20:13:28 UTC,research,CC-BY-NC,NA,3,false
Craugastor fitzingeri,2025-08-08 20:10:37 -0600,,"Arenal Volcano National Park, San Carlos, Alajuela, CR",10.4388883333,-84.7088783333,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/304870240,https://inaturalist-open-data.s3.amazonaws.com/photos/549640783/medium.jpg,cabbagehinjabi,304870240,Fitzinger's Robber Frog,Amphibia,65238,1,0,2025-08-08 20:10:37-06:00,2025-08-08,2025-08-09 02:10:37 UTC,America/Costa_Rica,3,3,,open,false,,,8298223,,2025-08-09 02:38:23 UTC,2025-08-09 08:55:11 UTC,research,CC-BY-NC,NA,3,false
Craugastor fitzingeri,2025-03-18 21:43:00 -0600,,"Chilamate, Heredia, Sarapiquí, Costa Rica",10.4508735115,-84.0689327376,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/304584761,https://inaturalist-open-data.s3.amazonaws.com/photos/549087847/medium.jpg,rinnyw,304584761,Fitzinger's Robber Frog,Amphibia,65238,1,0,2025/03/18 9:43 PM,2025-03-18,2025-03-19 03:43:00 UTC,America/Costa_Rica,8,8,,open,false,,,2365950,,2025-08-07 22:19:48 UTC,2025-08-09 20:34:15 UTC,research,CC-BY-NC,NA,NA,false
Craugastor fitzingeri,2025-03-18 03:01:00 -0600,,"Heredia Province, Sarapiqui, Costa Rica",10.4508735115,-84.0689327376,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/304584749,https://inaturalist-open-data.s3.amazonaws.com/photos/549087780/medium.jpg,rinnyw,304584749,Fitzinger's Robber Frog,Amphibia,65238,1,0,2025/03/18 3:01 AM,2025-03-18,2025-03-18 09:01:00 UTC,America/Costa_Rica,8,8,,open,false,,,2365950,,2025-08-07 22:19:46 UTC,2025-08-09 20:34:15 UTC,research,CC-BY-NC,NA,NA,false
Craugastor fitzingeri,2025-07-25 19:41:00 -0600,,"Puntarenas Province, Savegre de Aguirre, Costa Rica",9.3205040182,-83.9167886381,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/304297175,https://inaturalist-open-data.s3.amazonaws.com/photos/548545673/medium.jpg,rejzekm,304297175,Fitzinger's Robber Frog,Amphibia,65238,1,0,2025/07/25 7:41 PM,2025-07-25,2025-07-26 01:41:00 UTC,America/Costa_Rica,31,31,,open,false,,,5778145,Martin Rejzek,2025-08-06 19:00:47 UTC,2025-08-06 22:39:45 UTC,research,CC-BY-NC,NA,NA,false
Craugastor fitzingeri,2025-07-20 20:12:00 -0600,,"Provincia de Puntarenas, Golfito, Costa Rica",8.6975428706,-83.20437509,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/304278509,https://inaturalist-open-data.s3.amazonaws.com/photos/548508886/medium.jpg,rejzekm,304278509,Fitzinger's Robber Frog,Amphibia,65238,1,0,2025/07/20 8:12 PM,2025-07-20,2025-07-21 02:12:00 UTC,America/Costa_Rica,8,8,,open,false,,,5778145,Martin Rejzek,2025-08-06 17:38:35 UTC,2025-08-06 22:40:14 UTC,research,CC-BY-NC,NA,NA,false
Craugastor fitzingeri,2025-08-05 22:05:23 -0600,,"Siquirres, CR-LI, CR",10.0543516134,-83.5490338504,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/304157709,https://inaturalist-open-data.s3.amazonaws.com/photos/552403354/medium.jpg,sandboa,304157709,Fitzinger's Robber Frog,Amphibia,65238,2,0,2025-08-05 22:05:23,2025-08-05,2025-08-06 04:05:23 UTC,America/Costa_Rica,6,6,,open,false,gps,gps,6690,Chris Harrison,2025-08-06 05:13:15 UTC,2025-08-14 19:46:35 UTC,research,CC-BY,NA,2,false
Craugastor fitzingeri,2025-08-04 22:13:30 -0600,,"Siquirres, CR-LI, CR",10.0548929775,-83.5508749589,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/303905096,https://inaturalist-open-data.s3.amazonaws.com/photos/547806832/medium.jpg,sandboa,303905096,Fitzinger's Robber Frog,Amphibia,65238,1,0,2025-08-04 22:13:30,2025-08-04,2025-08-05 04:13:30 UTC,America/Costa_Rica,9,9,,open,false,,,6690,Chris Harrison,2025-08-05 04:54:18 UTC,2025-08-05 21:31:06 UTC,research,CC-BY,NA,2,false
Craugastor fitzingeri,2025-07-29 21:01:00 -0500,,"El Valle de Antón, Coclé Province, Panama",8.6142162355,-80.1123628011,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/303809571,https://inaturalist-open-data.s3.amazonaws.com/photos/547616241/medium.jpg,lake_barrett,303809571,Fitzinger's Robber Frog,Amphibia,65238,1,0,2025/07/29 9:01 PM,2025-07-29,2025-07-30 02:01:00 UTC,America/Panama,2,2,,open,false,,,6922085,Lake Barrett,2025-08-04 20:38:32 UTC,2025-08-05 13:35:05 UTC,research,CC-BY-NC,NA,NA,false
Craugastor fitzingeri,2025-07-30 19:48:20 -0600,,"Golfito, Puntarenas, CR",8.5920283333,-83.0995638333,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/303276062,https://inaturalist-open-data.s3.amazonaws.com/photos/546607584/medium.jpg,f_fleming-ochoverde,303276062,Fitzinger's Robber Frog,Amphibia,65238,1,0,2025-07-30 19:48:20,2025-07-30,2025-07-31 01:48:20 UTC,America/Costa_Rica,4,4,,open,false,,,3531900,,2025-08-02 23:43:46 UTC,2025-08-03 17:17:33 UTC,research,CC-BY-NC,NA,843,false
Craugastor fitzingeri,2025-08-01 18:38:00 -0600,,"Alajuela Province, San Carlos, Costa Rica",10.4533706179,-84.6708450666,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/303259384,https://inaturalist-open-data.s3.amazonaws.com/photos/546574532/medium.jpg,timhe,303259384,Fitzinger's Robber Frog,Amphibia,65238,2,0,2025/08/01 6:38 PM,2025-08-01,2025-08-02 00:38:00 UTC,America/Costa_Rica,314,314,,open,false,,,6445650,tim h,2025-08-02 22:27:34 UTC,2025-08-03 17:22:14 UTC,research,CC-BY-NC,NA,NA,false
Craugastor fitzingeri,2025-08-01 19:27:00 -0600,,"Golfito, Puntarenas, CR",8.5629633333,-83.3331216667,,Fitzinger's Robber Frog,https://www.inaturalist.org/observations/303118102,https://inaturalist-open-data.s3.amazonaws.com/photos/546319520/medium.jpg,jcarazo,303118102,Fitzinger's Robber Frog,Amphibia,65238,1,0,2025-08-01 19:27:00-06:00,2025-08-01,2025-08-02 01:27:00 UTC,America/Costa_Rica,8,8,,open,false,,,19558,Javier Carazo,2025-08-02 13:46:26 UTC,2025-08-03 17:27:19 UTC,research,CC-BY-NC,NA,3,false
